Дистальный прирусловой вал;Алевролит глинистый с линзами и прослоями песчаника тонкозернистого и аргиллита. Цемент в песчаниках глинистый. Текстуры: деформации, тонкая линзовидная слоистость, рябь течений. УРД по напластованию.
Дистальный прирусловой вал;Алевролит глинистый с линзами и прослоями песчаника тонкозернистого и аргиллита. Текстуры: тонкая линзовидная слоистость, рябь течений, в прослоях песчаника немногочисленная биотурбация представленная ходами Ph, Cos. Небольшое количество УРД по напластованию.
Дистальный прирусловой вал;Алевролит глинистый с линзами и прослоями аргиллита и песчаника тонкозернистого. Текстуры: тонкая линзовидная слоистость, ряби течений, деформации, в линзах песчаника биотурбация слабой степени интенсивности и разнообразия, представленная ходами Ph, Te. Небольшое количество УРД по напластованию.
Дистальный прирусловой вал;Алевролит глинистый с прослоями песчаника тонкозернистого и аргиллита. Цемент в песчаниках глинистый. Текстуры: тонкая линзовидная слоистость, ряби течений, деформации, градационная, массивная, горизонтальная слоистость. Текстуры нарушены деформациями. УРД по напластованию.
Дистальный прирусловой вал;Песчаник от мелко-до тонкозернистого серый, с прослоями алевролита глинистый с прослоями (от нескольких мм до 50 см) песчаника тонкозернистого и аргиллита. Цемент глинистый. Текстуры: массивная, тонкая линзовидная слоистость, горизонтальная, ряби течений, градационная, деформации. Биотурбация-единичные ходы Te. Текстуры подчеркнуты УРД, в кровле крупные УРО.
Дистальный прирусловой вал;Алевролит глинистый тонко линзовидно-слоистый, с песчаником тонкозернистым. Текстуры деформации.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонкозернистого, алевролита глинистого, аргиллита. Цемент в песчаниках глинистый. Текстуры: градационная, ряби течений, горизонтальная, тонкая линзовидная слоистость, деформации, пламенные текстуры. УРД по напластованию.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый с интракластами аргиллита неокатанной формы. Цемент глинистый, частично карбонатизированный.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый серый с прослоями алевролита глинистого и аргиллита. Цемент в песчанике глинистый. Текстуры: массивная, горизонтальная слоистость, рябь течения, градационная слоистость, в прослоях аргиллита-тонколинзовидная слоистость. По интервалу встречаются интракласты аргиллита неокатанной формы. В кровле биотурбации слабой степени интенсивности и разнообразия (Te, Ph). По слою наблюдаются эрозионнные врезы. УРД по интервалу.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого и алевролита с тонкими прослоями аргиллита. Текстуры: деформации, массивная горизонтальная. Встречается УРД по интервалу
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого, аргиллита. Текстуры осложнены многочисленными крупными деформациями, наблюдаются текстуры ряби течения, тонколинзовидной слоистости, градационной в глинистых прослоях. УРД на поверхностях напластования. Цемент глинистый, местами карбонатизирован.
Дистальный прирусловой вал;Неравномерное переслаивание алевролита глинистого, песчаника тонкозернистого и аргиллита. Текстуры: линзовидная слоистость, нарушенная деформациями, в песчанике массивная с интракластами и рябью течения. Интракласты крупные с сохраненной первичной текстурой. Цемент глинистый.
Дистальный прирусловой вал;Песчаник от мелко-до тонкозернистого серого с глинистым цементом. В подошве крупные интракласты аргиллита с сохранившимися реликтовыми текстурами. Текстура массивная. УРД по интервалу.
Дистальный прирусловой вал;Песчаник тонкозернистый до мелкозернистого серого с тонкими прослоями алевролита глинистого и аргиллита. Цемент глинистый. Текстуры: косая слоистость, нарушенная деформациями, флазерная. Многочисленные УРД по интервалу.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого, аргиллита. Цемент в песчанике глинистый. Текстуры: тонко-линзовидная слоистость с рябью течения в линзах песчаника, деформационная. УРД по напластованию.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого и аргиллита. Цемент в песчанике глинистый. Текстуры: рябь течения, восходящая рябь течения, тонко-линзовидная слоистость, дебрисная текстура, биотурбации, деформационная текстура. Биотурбация слабой степени интенсивности, представленная ходами He, Cos, Ph. Единичные гнезда пирита. Текстуры подчеркнуты УРД.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый с глинистым цементом. Текстура массивная, с тонкими прослойками и линзами алевролита глинистого. По интервалу встречются глинистые интракласты. Небольшое количество УРД.
