Верхний мелководно-морской шельф;Алевролит глинистый с линзами и прослоями песчаника тонкозернистого и аргиллита. Количество песчаного материала к кровле увеличивается. Текстуры: тонкая линзовидная слоистость, в песчаниках слоистость образованная штормами. Биотурбация высокой степени интенсивности (ходы Th, Te, As, Sc).
Верхний мелководно-морской шельф;Алевролит глинистый с линзами и прослоями песчаника тонкозернистого и аргиллита. Текстуры: тонкая линзовидная слоистость. Биотурбация средней степени интенсивности и разнообразия (ходы Th, Te, As, Sc?).
Временно заливаемые участки пойм;Неравномерное переслаивание песчаника тонкозернистого, алевролита глинистого и аргиллита. Цемент глинистый. Текстуры: тонкая линзовидная слоистость, ряби течений, деформационная, градационная. Деформации небольшого размера. Текстуры подчёркнуты УРД.
Временно заливаемые участки пойм;Песчаник тонко-мелкозернистый серый, с карбонатным цементом в верхней части и глинистым снизу. Текстуры: массивная. Немногочисленный УРД.
Временно заливаемые участки пойм;Алевролит глинистый с прослоями и линзами песчаника тонкозернистого и аргиллита. В песчаниках цемент карбонатный. Текстуры: тонкая линзовидная слоистость, по всему слою градационная слоистость, в песчаниках ряби течений. По всему интервалу УРД.
Дистальный конус выноса дельты;Песчаник тонкозернистый серый, с прослоями алевролита глинистого и аргиллита. Цемент глинистый. Текстуры: деформационная, рябь течений, тонкая линзовидная слоистость. Интракласты аргиллита.
Дистальный конус выноса дельты;Аргиллит с линзами алевролита глинистого. Текстуры: тонкая линзовидная слоистость.
Дистальный конус выноса дельты;Песчаник тонкозернистый серый, с прослоями алевролита глинистого и аргиллита. Цемент глинистый. Текстуры: рябь течений, тонкая линзовидная слоистость, градационная. УРД подчеркивает слоистость. Интракласты аргиллита по интервалу.
Дистальный конус выноса дельты;Алевролит глинистый с линзами и прослоями аргиллита и песчаника тонкозернистого. Текстуры: тонкая линзовидная слоистость с крупными многочисленными деформациями.
Дистальный прирусловой вал;Алевролит глинистый с линзами и прослоями песчаника тонкозернистого и аргиллита. Цемент в песчаниках глинистый. Текстуры: деформации, тонкая линзовидная слоистость, рябь течений. УРД по напластованию.
Дистальный прирусловой вал;Алевролит глинистый с линзами и прослоями песчаника тонкозернистого и аргиллита. Текстуры: тонкая линзовидная слоистость, рябь течений, в прослоях песчаника немногочисленная биотурбация представленная ходами Ph, Cos. Небольшое количество УРД по напластованию.
Дистальный прирусловой вал;Алевролит глинистый с линзами и прослоями аргиллита и песчаника тонкозернистого. Текстуры: тонкая линзовидная слоистость, ряби течений, деформации, в линзах песчаника биотурбация слабой степени интенсивности и разнообразия, представленная ходами Ph, Te. Небольшое количество УРД по напластованию.
Дистальный прирусловой вал;Алевролит глинистый с прослоями песчаника тонкозернистого и аргиллита. Цемент в песчаниках глинистый. Текстуры: тонкая линзовидная слоистость, ряби течений, деформации, градационная, массивная, горизонтальная слоистость. Текстуры нарушены деформациями. УРД по напластованию.
Дистальный прирусловой вал;Песчаник от мелко-до тонкозернистого серый, с прослоями алевролита глинистый с прослоями (от нескольких мм до 50 см) песчаника тонкозернистого и аргиллита. Цемент глинистый. Текстуры: массивная, тонкая линзовидная слоистость, горизонтальная, ряби течений, градационная, деформации. Биотурбация-единичные ходы Te. Текстуры подчеркнуты УРД, в кровле крупные УРО.
Дистальный прирусловой вал;Алевролит глинистый тонко линзовидно-слоистый, с песчаником тонкозернистым. Текстуры деформации.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонкозернистого, алевролита глинистого, аргиллита. Цемент в песчаниках глинистый. Текстуры: градационная, ряби течений, горизонтальная, тонкая линзовидная слоистость, деформации, пламенные текстуры. УРД по напластованию.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый с интракластами аргиллита неокатанной формы. Цемент глинистый, частично карбонатизированный.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый серый с прослоями алевролита глинистого и аргиллита. Цемент в песчанике глинистый. Текстуры: массивная, горизонтальная слоистость, рябь течения, градационная слоистость, в прослоях аргиллита-тонколинзовидная слоистость. По интервалу встречаются интракласты аргиллита неокатанной формы. В кровле биотурбации слабой степени интенсивности и разнообразия (Te, Ph). По слою наблюдаются эрозионнные врезы. УРД по интервалу.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого и алевролита с тонкими прослоями аргиллита. Текстуры: деформации, массивная горизонтальная. Встречается УРД по интервалу
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого, аргиллита. Текстуры осложнены многочисленными крупными деформациями, наблюдаются текстуры ряби течения, тонколинзовидной слоистости, градационной в глинистых прослоях. УРД на поверхностях напластования. Цемент глинистый, местами карбонатизирован.
Дистальный прирусловой вал;Неравномерное переслаивание алевролита глинистого, песчаника тонкозернистого и аргиллита. Текстуры: линзовидная слоистость, нарушенная деформациями, в песчанике массивная с интракластами и рябью течения. Интракласты крупные с сохраненной первичной текстурой. Цемент глинистый.
Дистальный прирусловой вал;Песчаник от мелко-до тонкозернистого серого с глинистым цементом. В подошве крупные интракласты аргиллита с сохранившимися реликтовыми текстурами. Текстура массивная. УРД по интервалу.
Дистальный прирусловой вал;Песчаник тонкозернистый до мелкозернистого серого с тонкими прослоями алевролита глинистого и аргиллита. Цемент глинистый. Текстуры: косая слоистость, нарушенная деформациями, флазерная. Многочисленные УРД по интервалу.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого, аргиллита. Цемент в песчанике глинистый. Текстуры: тонко-линзовидная слоистость с рябью течения в линзах песчаника, деформационная. УРД по напластованию.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого и аргиллита. Цемент в песчанике глинистый. Текстуры: рябь течения, восходящая рябь течения, тонко-линзовидная слоистость, дебрисная текстура, биотурбации, деформационная текстура. Биотурбация слабой степени интенсивности, представленная ходами He, Cos, Ph. Единичные гнезда пирита. Текстуры подчеркнуты УРД.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый с глинистым цементом. Текстура массивная, с тонкими прослойками и линзами алевролита глинистого. По интервалу встречются глинистые интракласты. Небольшое количество УРД.
Дистальный прирусловой вал;Песчаник тонкозернистый серый, с глинистым цементом. Текстуры горизонтальной слоистости, ряби течения, линзы алевролита глинистого и аргиллита.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника, алевролита глинистого и аргиллита. Текстуры: градационная слоистость, рябь течения. УРД по напластованию.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый серый, преимущественно с глинистым цементом, участками с карбонатным. Текстура в основной части массивная к кровле слоя, косая, горизонтальная и с рябью течения. В верхней части в единичных прослоях аргиллита градационная слоистость. УРД по напластованию.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернситого, алевролита глинистого и аргиллита. Текстуры: рябь течения, градационная слоистость, биотурбация (He), тонко-линзовидная слоистость. Единичные гнезда пирита. УРД по напластованию.
Дистальный прирусловой вал;Неравноемерное переслаивание песчаника тонкозернистого, алевролита глинистого и аргиллита. Цемент в песчанике глинистый, в верхней части карбонатизированный. Текстуры: рябь течений, горизонтальная слоистость, градационная слоистость, единичная биотурбация (Cos, He, Sc), дебрисная текстура в песчанике.
Дистальный прирусловой вал;Песчаник тонко-мелкозернистый серый. Цемент глинистый. Текстура массивная, дебрисная. По интервалу встречаются интракласты аргиллита. По слою несколько эрозионных врезов.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонко-зернистого, алевролита глинистого, аргиллита. Текстуры: тонко-линзовидная слоистость, деформационная, дебрисная. Текстуры подчеркнуты УРД. Цемент глинистый.
Дистальный прирусловой вал;Песчаник от мелко-тонко-зернистого до тонко-зернистого с постоянным уменьшением зернистости. Цемент глинистый. Текстура массивная с единичными деформациями, в верхней части обильный УРД.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонкозернистого, алевролита глинистого, аргиллита. Цемент в песчанике глинистый. Текстуры: градационная, тонко-линзовидная слоистость, рябь течения, восходящая рябь течения, волнистая слоистость, горизонтальная слоистость, единичные деформации, резкие границы между литологическими разностями (жидкие илы). УРД по напластованию.
Дистальный прирусловой вал;Неравномерное переслаивание песчаника тонкозернистого, алевролита глинистого и аргиллита. В песчанике глинистый цемент. Текстуры: градационная слоистость, тонколинзовидная слоистость, рябь течения в песчанике, массивная текстура, деформационная, четкие границы между литологическими разностями (жидкие илы). Небольшое количество УРД на поверхностях напластования
Дистальный прирусловой вал;Алевро-аргиллит тонко-градационно слоистый и линзовидно-слоистый (линзы образованы волнами) с прослоями 1-3 см, редко до 5 см песчаника тонкозернстого карбонатизированного. В песчанике отмечаются текстуры волновой ряби. Породы спорадически биотурбированы (Ph, Th). Выделяются тонкие (~0,3-0,6 cм) прослои сидеритизации. Частота песчаных прослоев увеличивается к кровле слоя.
Дистальный прирусловой вал;Пачки аргиллита алевритистого с пачками песчаника тонкозернистого сильно карбонатизированного с массивной текстурой и текстурой штормовых волн. Алевролит с текстурой градационной слоистости
Дистальный прирусловой вал;Алевролит глинистый.Зона трещиноватости. Наблюдается многочисленные вертикальные, слабо наклонные, извилистые, разветленные трещины размером от первых миллиметров до 0,7 до 1,2 см. Наблюдаются текстуры кливажа. Порода со слабой степенью биотурбации (Cos, Th)
Дистальный прирусловой вал;Алевро-аргиллит тонко-градационнослоистый с тонкими прослоями (до 0,2-0,5 см) песчаника тонкозернистого с текстурами волновой ряби. В алевро-аргиллите также тонко-градационно-слоистая текстура (линзы образованы волнами). По слою отмечаются тонкие (до 1 см) сидеритизированные прослои. Породы слабо-средне биотурбированы ходами Ph, реже Th.
Дистальный прирусловой вал;Чередование пачек алевролита глинистого, гетеролитов от глинистых до песчанистых и песчаника тонкозернистого алевритистого. Количество и мощность песчаных пачек увеличивается к кровле слоя. Цемент преимущественно карбонатный, в кровле-карбонатно-глинистый. Текстуры: в алевролитовых пачках-градационная и линзовидно-слоистая за счёт ряби течения, участками отмечаются текстуры внедрения (подушечные). В песчаных пачках наблюдаются текстуры горизонтальной слоистости и восходящей ряби течений.
Дистальный прирусловой вал;Алевро-аргиллит тонкоградационно-слоистый с тонкими линзовидными прослойками (~2-3 мм) тонкозернистого песчаника со знаками мелкой косой слойчатости ряби течения. Включения пирита.
Дистальный прирусловой вал;Алевролит глинистый серого, темносерого цвета, в основном с градационно-слоистой текстурой, реже с массивной и линзовидно-слоистой за счёт ряби течений.Часто выделяются алевролиты с деформационными текстурами-оползания, микросбросы. В нижней и верхней частях выделяется прослой со слабой биотурбацией (ходы Ph).
